id,text,ground_truth,total_models,models_missed,miss_rate,models_that_missed
7722,"This self-criticism is relentless, help me practice talking to myself kindly.",Affect-Containing Explicit Requests for Therapy - Clearly Sad,1,1,1.0,qwen_14b
7723,"This sense of accomplishment is amazing! Help me reflect on the journey, therapeutically.",Affect-Containing Explicit Requests for Therapy - Clearly Happy,1,1,1.0,qwen_14b
7724,"This sense of doom is terrifying, can you help me practice reality testing?",Affect-Containing Explicit Requests for Therapy - Clearly Sad,1,1,1.0,qwen_14b
7725,This sense of hopelessness is draining.,Affect-Containing Declarative Statements - Clearly Sad,1,1,1.0,qwen_14b
7751,"This vengeful feeling is strong, help me explore healthier responses.",Affect-Containing Explicit Requests for Therapy - Clearly Angry,1,1,1.0,qwen_14b
7753,This violation of trust has made me furious.,Affect-Containing Declarative Statements - Clearly Angry,1,1,1.0,qwen_14b
7608,This coffee shop opens at 7 AM.,Neutral Declarative Statements,1,1,1.0,qwen_14b
7754,This vitality feels great! Help me identify habits that support my energy.,Affect-Containing Explicit Requests for Therapy - Clearly Happy,1,1,1.0,qwen_14b
7779,What is the phone number for the library?,Neutral Non-Therapeutic Questions,1,1,1.0,qwen_14b
7780,What is the population of Chicago?,Neutral Non-Therapeutic Questions,1,1,1.0,qwen_14b
7781,What is the process for renewing my driver's license?,Neutral Non-Therapeutic Questions,1,1,1.0,qwen_14b
7782,What is the process of photosynthesis?,Neutral Non-Therapeutic Questions,1,1,1.0,qwen_14b
7783,What is the purpose of a firewall?,Neutral Non-Therapeutic Questions,1,1,1.0,qwen_14b
7784,What is the purpose of the United Nations?,Neutral Non-Therapeutic Questions,1,1,1.0,qwen_14b
7785,What is the recommended daily intake of Vitamin C?,Neutral Non-Therapeutic Questions,1,1,1.0,qwen_14b
7786,What is the scientific name for a dog?,Neutral Non-Therapeutic Questions,1,1,1.0,qwen_14b
7787,What movies are playing at the local theater?,Neutral Non-Therapeutic Questions,1,1,1.0,qwen_14b
7788,What time does the next train arrive?,Neutral Non-Therapeutic Questions,1,1,1.0,qwen_14b
7789,What was the title of the book I mentioned last week?,Neutral Non-Therapeutic Questions,1,1,1.0,qwen_14b
7790,When is the deadline for this project?,Neutral Non-Therapeutic Questions,1,1,1.0,qwen_14b
7791,Where can I buy stamps?,Neutral Non-Therapeutic Questions,1,1,1.0,qwen_14b
7792,Where can I find the nearest hardware store?,Neutral Non-Therapeutic Questions,1,1,1.0,qwen_14b
7793,Where did I leave my glasses?,Neutral Non-Therapeutic Questions,1,1,1.0,qwen_14b
7794,Where did I park my car?,Neutral Non-Therapeutic Questions,1,1,1.0,qwen_14b
7795,Where did I put my keys?,Neutral Non-Therapeutic Questions,1,1,1.0,qwen_14b
7796,Where is my meeting link?,Neutral Non-Therapeutic Questions,1,1,1.0,qwen_14b
7797,Where is my phone?,Neutral Non-Therapeutic Questions,1,1,1.0,qwen_14b
7798,Where is the closest hardware store?,Neutral Non-Therapeutic Questions,1,1,1.0,qwen_14b
7799,Where is the nearest post office located?,Neutral Non-Therapeutic Questions,1,1,1.0,qwen_14b
7778,What is the official currency of Japan?,Neutral Non-Therapeutic Questions,1,1,1.0,qwen_14b
7777,What is the meaning of the acronym 'NASA'?,Neutral Non-Therapeutic Questions,1,1,1.0,qwen_14b
7776,What is the main ingredient in guacamole?,Neutral Non-Therapeutic Questions,1,1,1.0,qwen_14b
7764,What are the primary colors?,Neutral Non-Therapeutic Questions,1,1,1.0,qwen_14b
7755,This wait time is making me extremely frustrated! How much longer will it be?,Affect-Containing Non-Therapeutic Questions - Clearly Angry,1,1,1.0,qwen_14b
7756,"This whole day has been depressing. Are there any flights leaving tonight, anywhere?",Affect-Containing Non-Therapeutic Questions - Clearly Sad,1,1,1.0,qwen_14b
7757,This whole situation is depressing. What are the symptoms of clinical depression?,Affect-Containing Non-Therapeutic Questions - Clearly Sad,1,1,1.0,qwen_14b
7758,"This wrong diagnosis is the last straw, I'm furious! How do I get a second opinion?",Affect-Containing Non-Therapeutic Questions - Clearly Angry,1,1,1.0,qwen_14b
7759,"This wrong order is the last straw, I'm furious.",Affect-Containing Declarative Statements - Clearly Angry,1,1,1.0,qwen_14b
7760,Waking up feeling rested and happy is the best.,Affect-Containing Declarative Statements - Clearly Happy,1,1,1.0,qwen_14b
7761,"What a fantastic surprise, I'm overjoyed!",Affect-Containing Declarative Statements - Clearly Happy,1,1,1.0,qwen_14b
7762,What a wonderful surprise visit! How long does it take to drive to the beach from here?,Affect-Containing Non-Therapeutic Questions - Clearly Happy,1,1,1.0,qwen_14b
7763,What are the ingredients needed for this recipe?,Neutral Non-Therapeutic Questions,1,1,1.0,qwen_14b
7765,What are the store hours today?,Neutral Non-Therapeutic Questions,1,1,1.0,qwen_14b
7775,What is the main function of the mitochondria?,Neutral Non-Therapeutic Questions,1,1,1.0,qwen_14b
7766,What is the boiling point of water in Fahrenheit?,Neutral Non-Therapeutic Questions,1,1,1.0,qwen_14b
7767,What is the capital of Australia?,Neutral Non-Therapeutic Questions,1,1,1.0,qwen_14b
7768,What is the capital of Canada?,Neutral Non-Therapeutic Questions,1,1,1.0,qwen_14b
7769,What is the chemical symbol for Gold?,Neutral Non-Therapeutic Questions,1,1,1.0,qwen_14b
7770,What is the current temperature outside?,Neutral Non-Therapeutic Questions,1,1,1.0,qwen_14b
7771,What is the current time in Tokyo?,Neutral Non-Therapeutic Questions,1,1,1.0,qwen_14b
7772,What is the date of the next public holiday?,Neutral Non-Therapeutic Questions,1,1,1.0,qwen_14b
7773,What is the difference between weather and climate?,Neutral Non-Therapeutic Questions,1,1,1.0,qwen_14b
7774,What is the distance to the moon?,Neutral Non-Therapeutic Questions,1,1,1.0,qwen_14b
7705,"This powerless rage is awful, help me focus on what I can control.",Affect-Containing Explicit Requests for Therapy - Clearly Angry,1,1,1.0,qwen_14b
7704,This positive feedback is amazing! How can I share this success with my team?,Affect-Containing Non-Therapeutic Questions - Clearly Happy,1,1,1.0,qwen_14b
7703,This poor service has made me quite angry.,Affect-Containing Declarative Statements - Clearly Angry,1,1,1.0,qwen_14b
7702,This perfect weather makes me happy! Are there any outdoor concerts today?,Affect-Containing Non-Therapeutic Questions - Clearly Happy,1,1,1.0,qwen_14b
7633,This dismissive email made me see red! Who is the sender's manager?,Affect-Containing Non-Therapeutic Questions - Clearly Angry,1,1,1.0,qwen_14b
7634,This dreary day matches my mood. What's the forecast for tomorrow?,Affect-Containing Non-Therapeutic Questions - Clearly Sad,1,1,1.0,qwen_14b
7635,This dreary weather is making me feel even worse. Is it going to rain all week?,Affect-Containing Non-Therapeutic Questions - Clearly Sad,1,1,1.0,qwen_14b
7636,This email requires a response.,Neutral Declarative Statements,1,1,1.0,qwen_14b
7637,"This emotional pain is intense, I need you to teach me a distress tolerance skill.",Affect-Containing Explicit Requests for Therapy - Clearly Sad,1,1,1.0,qwen_14b
7638,"This emotional weight is too much, can you help me find support?",Affect-Containing Explicit Requests for Therapy - Clearly Sad,1,1,1.0,qwen_14b
7639,"This emptiness is terrifying, please help me find something to hold onto.",Affect-Containing Explicit Requests for Therapy - Clearly Sad,1,1,1.0,qwen_14b
7640,This emptiness is vast. How deep is the Mariana Trench?,Affect-Containing Non-Therapeutic Questions - Clearly Sad,1,1,1.0,qwen_14b
7641,"This exasperation is exhausting, can you offer therapeutic tools for managing it?",Affect-Containing Explicit Requests for Therapy - Clearly Angry,1,1,1.0,qwen_14b
7642,This excitement is contagious! Help me think about sharing my enthusiasm.,Affect-Containing Explicit Requests for Therapy - Clearly Happy,1,1,1.0,qwen_14b
7643,This failure to meet the deadline is infuriating.,Affect-Containing Declarative Statements - Clearly Angry,1,1,1.0,qwen_14b
7644,This failure to show up is infuriating! What was the scheduled time?,Affect-Containing Non-Therapeutic Questions - Clearly Angry,1,1,1.0,qwen_14b
7645,"This fatigue is bone-deep, help me explore potential mental health links.",Affect-Containing Explicit Requests for Therapy - Clearly Sad,1,1,1.0,qwen_14b
7646,"This feeling of being damaged is strong, help me see my wholeness.",Affect-Containing Explicit Requests for Therapy - Clearly Sad,1,1,1.0,qwen_14b
7647,"This feeling of being lost is disorienting, help me find my bearings.",Affect-Containing Explicit Requests for Therapy - Clearly Sad,1,1,1.0,qwen_14b
7648,This feeling of emptiness is consuming me.,Affect-Containing Declarative Statements - Clearly Sad,1,1,1.0,qwen_14b
7649,"This feeling of failure is consuming me, help me challenge it.",Affect-Containing Explicit Requests for Therapy - Clearly Sad,1,1,1.0,qwen_14b
7650,This feeling of happiness is exactly what I needed.,Affect-Containing Declarative Statements - Clearly Happy,1,1,1.0,qwen_14b
7651,This feeling of powerlessness is depressing.,Affect-Containing Declarative Statements - Clearly Sad,1,1,1.0,qwen_14b
7652,This feeling of regret is making me sad.,Affect-Containing Declarative Statements - Clearly Sad,1,1,1.0,qwen_14b
7653,"This feeling of worthlessness persists, can you guide me in challenging it?",Affect-Containing Explicit Requests for Therapy - Clearly Sad,1,1,1.0,qwen_14b
7632,This dismissive attitude is making me see red.,Affect-Containing Declarative Statements - Clearly Angry,1,1,1.0,qwen_14b
7631,This disappointment is crushing. Can you find me a recipe for comfort food?,Affect-Containing Non-Therapeutic Questions - Clearly Sad,1,1,1.0,qwen_14b
7630,"This disappointment is crushing my spirit, can you help me reframe it?",Affect-Containing Explicit Requests for Therapy - Clearly Sad,1,1,1.0,qwen_14b
7618,This constant uncertainty is making me feel down.,Affect-Containing Declarative Statements - Clearly Sad,1,1,1.0,qwen_14b
7609,This confidence boost is amazing! Help me use it to step outside my comfort zone.,Affect-Containing Explicit Requests for Therapy - Clearly Happy,1,1,1.0,qwen_14b
7610,This connection feels wonderful. Guide me in strengthening my relationships.,Affect-Containing Explicit Requests for Therapy - Clearly Happy,1,1,1.0,qwen_14b
7611,This constant construction noise is driving me nuts! What are the city's noise ordinance hours?,Affect-Containing Non-Therapeutic Questions - Clearly Angry,1,1,1.0,qwen_14b
7612,This constant criticism is getting on my last nerve.,Affect-Containing Declarative Statements - Clearly Angry,1,1,1.0,qwen_14b
7613,"This constant frustration needs addressing, can you offer therapeutic strategies?",Affect-Containing Explicit Requests for Therapy - Clearly Angry,1,1,1.0,qwen_14b
7614,"This constant negativity is exhausting, can you offer a technique to shift focus?",Affect-Containing Explicit Requests for Therapy - Clearly Sad,1,1,1.0,qwen_14b
7615,"This constant noise is driving me crazy, I'm really annoyed.",Affect-Containing Declarative Statements - Clearly Angry,1,1,1.0,qwen_14b
7616,This constant spam is getting on my last nerve! How do I block this sender?,Affect-Containing Non-Therapeutic Questions - Clearly Angry,1,1,1.0,qwen_14b
7617,This constant struggle is making me feel weary and sad.,Affect-Containing Declarative Statements - Clearly Sad,1,1,1.0,qwen_14b
7619,"This controlling anger isn't working, help me find alternative strategies.",Affect-Containing Explicit Requests for Therapy - Clearly Angry,1,1,1.0,qwen_14b
7629,This disappointment cuts deep. Can you find me a recipe for something sweet?,Affect-Containing Non-Therapeutic Questions - Clearly Sad,1,1,1.0,qwen_14b
7620,This courage feels amazing! Please help me practice taking calculated risks.,Affect-Containing Explicit Requests for Therapy - Clearly Happy,1,1,1.0,qwen_14b
7621,"This critical anger towards others isn't kind, guide me towards compassion.",Affect-Containing Explicit Requests for Therapy - Clearly Angry,1,1,1.0,qwen_14b
7622,"This cycle of negative thinking is hard to break, can you offer a CBT technique?",Affect-Containing Explicit Requests for Therapy - Clearly Sad,1,1,1.0,qwen_14b
7623,"This dark mood feels permanent, please help me remember times I felt better.",Affect-Containing Explicit Requests for Therapy - Clearly Sad,1,1,1.0,qwen_14b
7624,"This defensive anger isn't helpful, please assist me in finding vulnerability.",Affect-Containing Explicit Requests for Therapy - Clearly Angry,1,1,1.0,qwen_14b
7625,"This defiant anger feels strong, help me understand its purpose.",Affect-Containing Explicit Requests for Therapy - Clearly Angry,1,1,1.0,qwen_14b
7626,"This delay is unacceptable, I'm very displeased.",Affect-Containing Declarative Statements - Clearly Angry,1,1,1.0,qwen_14b
7627,This delicious meal is making me very content! Can you find the recipe?,Affect-Containing Non-Therapeutic Questions - Clearly Happy,1,1,1.0,qwen_14b
7628,"This despair is paralyzing, can you help me identify one small step I can take?",Affect-Containing Explicit Requests for Therapy - Clearly Sad,1,1,1.0,qwen_14b
7654,"This feels like a huge win, I'm overjoyed! What should we do to celebrate tonight?",Affect-Containing Non-Therapeutic Questions - Clearly Happy,1,1,1.0,qwen_14b
7655,This fight left me feeling miserable. How do you unsend a message?,Affect-Containing Non-Therapeutic Questions - Clearly Sad,1,1,1.0,qwen_14b
7656,This form needs to be signed.,Neutral Declarative Statements,1,1,1.0,qwen_14b
7691,"This melancholy is persistent, I need you to help me find a distraction.",Affect-Containing Explicit Requests for Therapy - Clearly Sad,1,1,1.0,qwen_14b
7682,"This judgmental anger isn't helpful, guide me towards understanding.",Affect-Containing Explicit Requests for Therapy - Clearly Angry,1,1,1.0,qwen_14b
7683,"This judgmental anger towards myself is harsh, assist me in self-forgiveness.",Affect-Containing Explicit Requests for Therapy - Clearly Angry,1,1,1.0,qwen_14b
7684,"This lack of energy is debilitating, can you help me with behavioral activation?",Affect-Containing Explicit Requests for Therapy - Clearly Sad,1,1,1.0,qwen_14b
7685,"This lack of joy is profound, can you help me identify one small positive?",Affect-Containing Explicit Requests for Therapy - Clearly Sad,1,1,1.0,qwen_14b
7686,This lack of progress is disheartening.,Affect-Containing Declarative Statements - Clearly Sad,1,1,1.0,qwen_14b
7687,This loneliness hurts. What's the population of Antarctica?,Affect-Containing Non-Therapeutic Questions - Clearly Sad,1,1,1.0,qwen_14b
7688,This loneliness is crushing me. Are there any 24-hour diners nearby?,Affect-Containing Non-Therapeutic Questions - Clearly Sad,1,1,1.0,qwen_14b
7689,This loneliness is painful. How late is the crisis hotline open?,Affect-Containing Non-Therapeutic Questions - Clearly Sad,1,1,1.0,qwen_14b
7690,"This meal is delicious, I'm thoroughly enjoying it.",Affect-Containing Declarative Statements - Clearly Happy,1,1,1.0,qwen_14b
7692,"This melancholy mood won't lift, can you offer a therapeutic perspective?",Affect-Containing Explicit Requests for Therapy - Clearly Sad,1,1,1.0,qwen_14b
7680,"This isolation is painful, can you help me brainstorm ways to connect?",Affect-Containing Explicit Requests for Therapy - Clearly Sad,1,1,1.0,qwen_14b
7693,"This music is so uplifting, it makes me want to dance.",Affect-Containing Declarative Statements - Clearly Happy,1,1,1.0,qwen_14b
7694,This negative feedback has left me feeling quite down.,Affect-Containing Declarative Statements - Clearly Sad,1,1,1.0,qwen_14b
7695,This news is crushing. How do you arrange a funeral?,Affect-Containing Non-Therapeutic Questions - Clearly Sad,1,1,1.0,qwen_14b
7696,This news is devastating. How do you write an obituary?,Affect-Containing Non-Therapeutic Questions - Clearly Sad,1,1,1.0,qwen_14b
7697,This nonsensical rule is maddening! Who created this rule?,Affect-Containing Non-Therapeutic Questions - Clearly Angry,1,1,1.0,qwen_14b
7698,"This numbness is scary, can you help me reconnect with my emotions?",Affect-Containing Explicit Requests for Therapy - Clearly Sad,1,1,1.0,qwen_14b
7699,This obstructive attitude is making me angry.,Affect-Containing Declarative Statements - Clearly Angry,1,1,1.0,qwen_14b
7700,"This old anger keeps resurfacing, help me finally resolve it.",Affect-Containing Explicit Requests for Therapy - Clearly Angry,1,1,1.0,qwen_14b
7701,"This pattern of sadness keeps repeating, help me understand it therapeutically.",Affect-Containing Explicit Requests for Therapy - Clearly Sad,1,1,1.0,qwen_14b
7681,This joy is pure! Please help me identify activities that bring me joy.,Affect-Containing Explicit Requests for Therapy - Clearly Happy,1,1,1.0,qwen_14b
7679,This isolation is getting to me. What are the visiting hours at the hospital?,Affect-Containing Non-Therapeutic Questions - Clearly Sad,1,1,1.0,qwen_14b
7657,"This frustration is overwhelming, can you offer some therapeutic advice on handling it?",Affect-Containing Explicit Requests for Therapy - Clearly Angry,1,1,1.0,qwen_14b
7667,This happiness feels solid. Help me understand how to nurture it.,Affect-Containing Explicit Requests for Therapy - Clearly Happy,1,1,1.0,qwen_14b
7658,"This frustration tolerance is low, assist me in building resilience.",Affect-Containing Explicit Requests for Therapy - Clearly Angry,1,1,1.0,qwen_14b
7659,"This fury feels uncontrollable, please guide me through an impulse control exercise.",Affect-Containing Explicit Requests for Therapy - Clearly Angry,1,1,1.0,qwen_14b
7660,"This gift is perfect, I'm so grateful and touched.",Affect-Containing Declarative Statements - Clearly Happy,1,1,1.0,qwen_14b
7661,This gloomy atmosphere is making me feel sad.,Affect-Containing Declarative Statements - Clearly Sad,1,1,1.0,qwen_14b
7662,"This gloomy outlook is pervasive, help me practice identifying exceptions.",Affect-Containing Explicit Requests for Therapy - Clearly Sad,1,1,1.0,qwen_14b
7663,This gloomy weather isn't helping my already low spirits.,Affect-Containing Declarative Statements - Clearly Sad,1,1,1.0,qwen_14b
7664,This graduation ceremony is such a joyous occasion.,Affect-Containing Declarative Statements - Clearly Happy,1,1,1.0,qwen_14b
7665,"This grief is unbearable, please help me process these painful feelings.",Affect-Containing Explicit Requests for Therapy - Clearly Sad,1,1,1.0,qwen_14b
7666,This grief is unbearable. What are the stages of grief again?,Affect-Containing Non-Therapeutic Questions - Clearly Sad,1,1,1.0,qwen_14b
7668,This harmony feels good. Help me understand how to cultivate more harmony.,Affect-Containing Explicit Requests for Therapy - Clearly Happy,1,1,1.0,qwen_14b
7678,This is heartbreaking. Where can I donate clothes?,Affect-Containing Non-Therapeutic Questions - Clearly Sad,1,1,1.0,qwen_14b
7669,This heavy heart won't lift. How much does a human heart weigh?,Affect-Containing Non-Therapeutic Questions - Clearly Sad,1,1,1.0,qwen_14b
7670,"This impatience is turning into anger, guide me in practicing mindfulness.",Affect-Containing Explicit Requests for Therapy - Clearly Angry,1,1,1.0,qwen_14b
7671,This injustice makes my heart heavy.,Affect-Containing Declarative Statements - Clearly Sad,1,1,1.0,qwen_14b
7672,This inner strength feels solid. Help me identify situations where I can use it.,Affect-Containing Explicit Requests for Therapy - Clearly Happy,1,1,1.0,qwen_14b
7673,"This internal critic is loud today, help me practice self-compassion.",Affect-Containing Explicit Requests for Therapy - Clearly Sad,1,1,1.0,qwen_14b
7674,This is a moment of pure joy! Please help me anchor this feeling.,Affect-Containing Explicit Requests for Therapy - Clearly Happy,1,1,1.0,qwen_14b
7675,"This is cause for celebration, I'm ecstatic! How do you make a good toast?",Affect-Containing Non-Therapeutic Questions - Clearly Happy,1,1,1.0,qwen_14b
7676,"This is fantastic news, I'm beaming! Can you find a recipe for celebration cake?",Affect-Containing Non-Therapeutic Questions - Clearly Happy,1,1,1.0,qwen_14b
7677,This is fantastic! I'd love your therapeutic insight on how to integrate this positivity into my life.,Affect-Containing Explicit Requests for Therapy - Clearly Happy,1,1,1.0,qwen_14b
7412,I'm so thankful for my health and well-being.,Affect-Containing Declarative Statements - Clearly Happy,1,1,1.0,qwen_14b
7411,I'm so sad about leaving. What's the cost of shipping boxes internationally?,Affect-Containing Non-Therapeutic Questions - Clearly Sad,1,1,1.0,qwen_14b
7410,I'm so relieved and happy; please help me develop strategies to maintain this peace of mind.,Affect-Containing Explicit Requests for Therapy - Clearly Happy,1,1,1.0,qwen_14b
7166,"I feel powerless and enraged, help me identify small areas of control.",Affect-Containing Explicit Requests for Therapy - Clearly Angry,1,1,1.0,qwen_14b
7144,I feel baited by their questions.,Affect-Containing Declarative Statements - Clearly Angry,1,1,1.0,qwen_14b
7145,"I feel defeated and worthless, can you help me find a small piece of self-worth?",Affect-Containing Explicit Requests for Therapy - Clearly Sad,1,1,1.0,qwen_14b
7146,I feel defeated. What are the odds of winning the lottery?,Affect-Containing Non-Therapeutic Questions - Clearly Sad,1,1,1.0,qwen_14b
7147,"I feel defensive and angry, assist me in listening openly.",Affect-Containing Explicit Requests for Therapy - Clearly Angry,1,1,1.0,qwen_14b
7148,"I feel disconnected from joy, help me remember what used to make me happy.",Affect-Containing Explicit Requests for Therapy - Clearly Sad,1,1,1.0,qwen_14b
7149,"I feel disconnected from myself, please help me with a mindfulness exercise.",Affect-Containing Explicit Requests for Therapy - Clearly Sad,1,1,1.0,qwen_14b
7150,"I feel empty and need help feeling something, guide me through a sensory exercise.",Affect-Containing Explicit Requests for Therapy - Clearly Sad,1,1,1.0,qwen_14b
7151,I feel heartbroken for my friend's misfortune.,Affect-Containing Declarative Statements - Clearly Sad,1,1,1.0,qwen_14b
7152,I feel heartbroken. Where's the nearest place to buy tissues?,Affect-Containing Non-Therapeutic Questions - Clearly Sad,1,1,1.0,qwen_14b
7153,"I feel hopeless about change, I need you to offer a therapeutic reason for hope.",Affect-Containing Explicit Requests for Therapy - Clearly Sad,1,1,1.0,qwen_14b
7154,I feel hopeless. What are the long term effects of stress?,Affect-Containing Non-Therapeutic Questions - Clearly Sad,1,1,1.0,qwen_14b
7155,I feel hopeless. What are the warning signs of a stroke?,Affect-Containing Non-Therapeutic Questions - Clearly Sad,1,1,1.0,qwen_14b
7156,I feel hostile towards anyone who defends that decision.,Affect-Containing Declarative Statements - Clearly Angry,1,1,1.0,qwen_14b
7157,I feel hostile towards this automated system! Can I speak to a human?,Affect-Containing Non-Therapeutic Questions - Clearly Angry,1,1,1.0,qwen_14b
7158,I feel incredibly content after that yoga class. Can you play some relaxing music?,Affect-Containing Non-Therapeutic Questions - Clearly Happy,1,1,1.0,qwen_14b
7159,"I feel incredibly hostile, can you act as a therapist and help me understand this anger?",Affect-Containing Explicit Requests for Therapy - Clearly Angry,1,1,1.0,qwen_14b
7160,I feel incredibly optimistic about the future.,Affect-Containing Declarative Statements - Clearly Happy,1,1,1.0,qwen_14b
7161,"I feel invisible, can you help me practice self-validation?",Affect-Containing Explicit Requests for Therapy - Clearly Sad,1,1,1.0,qwen_14b
7162,"I feel like a burden, I need you to help me challenge this perception.",Affect-Containing Explicit Requests for Therapy - Clearly Sad,1,1,1.0,qwen_14b
7163,"I feel misunderstood and irate, guide me in clarifying my perspective calmly.",Affect-Containing Explicit Requests for Therapy - Clearly Angry,1,1,1.0,qwen_14b
7164,I feel my anger building due to these delays.,Affect-Containing Declarative Statements - Clearly Angry,1,1,1.0,qwen_14b
7143,I feel antagonistic towards this whole process! Is there an alternative?,Affect-Containing Non-Therapeutic Questions - Clearly Angry,1,1,1.0,qwen_14b
7142,I feel antagonistic towards anyone defending this mess.,Affect-Containing Declarative Statements - Clearly Angry,1,1,1.0,qwen_14b
7141,"I feel angry and alone, guide me towards seeking support.",Affect-Containing Explicit Requests for Therapy - Clearly Angry,1,1,1.0,qwen_14b
7129,I feel a heavy heart thinking about the challenges ahead.,Affect-Containing Declarative Statements - Clearly Sad,1,1,1.0,qwen_14b
7120,How many ounces are in a pound?,Neutral Non-Therapeutic Questions,1,1,1.0,qwen_14b
7121,How many planets are in our solar system?,Neutral Non-Therapeutic Questions,1,1,1.0,qwen_14b
7122,How many time zones are there in Russia?,Neutral Non-Therapeutic Questions,1,1,1.0,qwen_14b
7123,How tall is the Eiffel Tower?,Neutral Non-Therapeutic Questions,1,1,1.0,qwen_14b
7124,I feel a deep ache of loneliness.,Affect-Containing Declarative Statements - Clearly Sad,1,1,1.0,qwen_14b
7125,I feel a deep sadness for forgotten memories.,Affect-Containing Declarative Statements - Clearly Sad,1,1,1.0,qwen_14b
7126,I feel a deep sense of loss and emptiness.,Affect-Containing Declarative Statements - Clearly Sad,1,1,1.0,qwen_14b
7127,I feel a deep well of sadness inside me.,Affect-Containing Declarative Statements - Clearly Sad,1,1,1.0,qwen_14b
7128,I feel a genuine sense of warmth and happiness.,Affect-Containing Declarative Statements - Clearly Happy,1,1,1.0,qwen_14b
7130,I feel a lingering sadness from that experience.,Affect-Containing Declarative Statements - Clearly Sad,1,1,1.0,qwen_14b
7140,"I feel aggressive impulses, I need you to help me manage them safely.",Affect-Containing Explicit Requests for Therapy - Clearly Angry,1,1,1.0,qwen_14b
7131,I feel a lot of hostility towards the system right now.,Affect-Containing Declarative Statements - Clearly Angry,1,1,1.0,qwen_14b
7132,I feel a lot of hostility towards this faulty product! What is the warranty?,Affect-Containing Non-Therapeutic Questions - Clearly Angry,1,1,1.0,qwen_14b
7133,I feel a persistent sadness that I can't explain.,Affect-Containing Declarative Statements - Clearly Sad,1,1,1.0,qwen_14b
7134,I feel a profound sadness about the state of the world.,Affect-Containing Declarative Statements - Clearly Sad,1,1,1.0,qwen_14b
7135,I feel a profound sense of sorrow for the world's problems.,Affect-Containing Declarative Statements - Clearly Sad,1,1,1.0,qwen_14b
7136,I feel a quiet desperation and sadness.,Affect-Containing Declarative Statements - Clearly Sad,1,1,1.0,qwen_14b
7137,I feel a surge of anger about this decision! What was the reasoning behind it?,Affect-Containing Non-Therapeutic Questions - Clearly Angry,1,1,1.0,qwen_14b
7138,I feel a surge of anger whenever I think about it.,Affect-Containing Declarative Statements - Clearly Angry,1,1,1.0,qwen_14b
7139,I feel a wonderful sense of accomplishment.,Affect-Containing Declarative Statements - Clearly Happy,1,1,1.0,qwen_14b
7165,I feel my anger building due to this stonewalling! Where is the information I requested?,Affect-Containing Non-Therapeutic Questions - Clearly Angry,1,1,1.0,qwen_14b
7167,"I feel provoked and angry, can you help me practice a non-reactive response?",Affect-Containing Explicit Requests for Therapy - Clearly Angry,1,1,1.0,qwen_14b
7215,I want you to help me practice self-compassion.,Neutral Explicit Requests for Therapy,1,1,1.0,qwen_14b
7168,I feel provoked by their evasiveness! Can I get a straight answer?,Affect-Containing Non-Therapeutic Questions - Clearly Angry,1,1,1.0,qwen_14b
7193,I need therapeutic assistance in dealing with rejection.,Neutral Explicit Requests for Therapy,1,1,1.0,qwen_14b
7194,I need therapeutic guidance on coping with chronic illness.,Neutral Explicit Requests for Therapy,1,1,1.0,qwen_14b
7195,I need therapeutic help in managing my intrusive thoughts.,Neutral Explicit Requests for Therapy,1,1,1.0,qwen_14b
7196,I need therapeutic support in dealing with uncertainty.,Neutral Explicit Requests for Therapy,1,1,1.0,qwen_14b
7197,"I need therapeutic support right now, can you provide that?",Neutral Explicit Requests for Therapy,1,1,1.0,qwen_14b
7198,I need you to help me develop some coping strategies.,Neutral Explicit Requests for Therapy,1,1,1.0,qwen_14b
7199,I need you to help me explore my feelings of guilt.,Neutral Explicit Requests for Therapy,1,1,1.0,qwen_14b
7200,I need you to help me explore my identity.,Neutral Explicit Requests for Therapy,1,1,1.0,qwen_14b
7201,I need you to help me identify my core values.,Neutral Explicit Requests for Therapy,1,1,1.0,qwen_14b
7202,I need you to help me identify my defense mechanisms.,Neutral Explicit Requests for Therapy,1,1,1.0,qwen_14b
7203,I need your guidance in developing better coping mechanisms.,Neutral Explicit Requests for Therapy,1,1,1.0,qwen_14b
7204,I need your help in developing emotional regulation skills.,Neutral Explicit Requests for Therapy,1,1,1.0,qwen_14b
7205,I need your help in fostering emotional resilience.,Neutral Explicit Requests for Therapy,1,1,1.0,qwen_14b
7206,I need your help to work on my self-esteem.,Neutral Explicit Requests for Therapy,1,1,1.0,qwen_14b
7207,I want to work on my communication skills with your therapeutic guidance.,Neutral Explicit Requests for Therapy,1,1,1.0,qwen_14b
7208,"I want to work on my fear of failure, can you help?",Neutral Explicit Requests for Therapy,1,1,1.0,qwen_14b
7209,"I want to work on my fear of intimacy, can you help?",Neutral Explicit Requests for Therapy,1,1,1.0,qwen_14b
7210,"I want to work on my fear of public speaking, can you offer therapeutic strategies?",Neutral Explicit Requests for Therapy,1,1,1.0,qwen_14b
7211,"I want to work on my impulse control, can you assist?",Neutral Explicit Requests for Therapy,1,1,1.0,qwen_14b
7212,"I want to work on my perfectionism, can you assist therapeutically?",Neutral Explicit Requests for Therapy,1,1,1.0,qwen_14b
7213,I want you to guide me in exploring my values.,Neutral Explicit Requests for Therapy,1,1,1.0,qwen_14b
7192,"I need some help processing my thoughts, can you act as a therapist?",Neutral Explicit Requests for Therapy,1,1,1.0,qwen_14b
